exp. number,configurations,loss,Sihlouette,intermediate errors,intermediate errors percentage,final errors,final errors percentage,training addded,training cancelled,accurate continuations (refers only to conscious continuations)
150,"(150, [0.944, 0.833, 0.167, 0.167, 0.5], 32)",24464.70703125,0.6683302446827752,[0.01382047],[4.0600769],[0.01149025],[1.71924714],True,False,True
151,"(151, [0.944, 0.833, 0.167, 0.167, 0.5], 32)",inf,inf,[0.00786944],[2.07777709],nan,nan,False,True,nan
152,"(152, [0.944, 0.833, 0.167, 0.167, 0.5], 32)",inf,inf,[0.01102713],[3.09572555],nan,nan,False,True,nan
153,"(153, [0.167, 0.5, 0.833, 0.167, 0.5], 32)",24427.041015625,0.5782703265890241,[0.03928895],[9.47099157],nan,nan,True,False,nan
154,"(154, [0.167, 0.5, 0.833, 0.167, 0.5], 32)",24465.8359375,0.5651307616871595,[0.04190639],[16.3512683],nan,nan,True,False,nan
155,"(155, [0.167, 0.5, 0.833, 0.167, 0.5], 32)",inf,inf,[0.01138176],[2.84864802],nan,nan,False,True,nan
156,"(156, [0.167, 0.5, 0.833, 0.833, 0.5], 32)",inf,inf,[0.00048462],[0.13182131],nan,nan,False,True,nan
157,"(157, [0.167, 0.5, 0.833, 0.833, 0.5], 32)",24441.9609375,0.65798441577935,[0.03656432],[8.58825602],nan,nan,True,False,nan
158,"(158, [0.167, 0.5, 0.833, 0.833, 0.5], 32)",24402.51171875,0.6163156795955181,[0.01634645],[5.22322767],nan,nan,True,False,nan
159,"(159, [0.167, 0.167, 0.5, 0.167, 0.5], 32)",24447.0546875,0.5952859547245396,[0.03104714],[10.96143286],nan,nan,True,False,nan
160,"(160, [0.167, 0.167, 0.5, 0.167, 0.5], 32)",24448.333984375,0.6389369643815785,[0.00335096],[0.9243656],[0.03253559],[5.09214466],True,False,True
161,"(161, [0.167, 0.167, 0.5, 0.167, 0.5], 32)",inf,inf,[0.01062269],[3.92640007],nan,nan,False,True,nan
162,"(162, [0.167, 0.167, 0.5, 0.833, 0.5], 32)",inf,inf,[0.00103303],[0.25081399],nan,nan,False,True,nan
163,"(163, [0.167, 0.167, 0.5, 0.833, 0.5], 32)",inf,inf,[0.00894816],[2.48249889],nan,nan,False,True,nan
164,"(164, [0.167, 0.167, 0.5, 0.833, 0.5], 32)",inf,inf,[0.01099601],[2.99129978],nan,nan,False,True,nan
165,"(165, [0.167, 0.5, 0.833, 0.5, 0.167], 32)",inf,inf,[0.00873287],[2.53370621],nan,nan,False,True,nan
166,"(166, [0.167, 0.5, 0.833, 0.5, 0.167], 32)",24446.244140625,0.6667995721402007,[0.01272582],[2.99742451],[0.0501632],[7.52298096],True,False,True
167,"(167, [0.167, 0.5, 0.833, 0.5, 0.167], 32)",24368.380859375,0.5884419350427663,[0.05475346],[13.17526155],nan,nan,True,False,nan
