losses,i_loss,f_loss
"[524561.75, 522075.4, 519631.25, 517176.56, 514657.0]",512019.38,30196.885
"[524201.75, 521329.28, 518407.0, 515356.4, 512096.56]",508539.5,25946.156
"[527296.9, 524715.0, 522112.28, 519428.38, 516601.56]",513566.5,27745.594
"[526137.9, 523704.56, 521311.38, 518909.88, 516449.75]",513884.2,31107.508
"[523393.66, 520690.38, 517927.28, 515034.28, 511943.56]",508573.7,26574.754
"[526618.4, 523635.62, 520714.56, 517769.84, 514719.1]",511481.2,27462.709
"[526863.8, 524294.4, 521748.44, 519167.47, 516492.72]",513665.5,29234.127
"[526678.1, 524023.62, 521425.03, 518818.72, 516144.84]",513339.06,29634.602
"[525006.8, 522111.94, 519201.5, 516198.3, 513021.25]",509584.2,26562.033
"[523310.78, 520724.8, 518070.56, 515286.9, 512308.66]",509061.1,26857.613
"[523679.88, 521189.34, 518677.12, 516088.03, 513366.8]",510451.7,28420.291
"[525498.6, 522688.28, 519871.6, 516977.62, 513930.4]",510653.25,27174.816
"[524863.0, 522289.0, 519706.9, 517054.8, 514274.03]",511299.12,28142.387
"[525796.25, 523283.1, 520788.78, 518256.7, 515633.97]",512862.38,29317.07
"[523897.75, 521328.0, 518779.7, 516192.9, 513510.25]",510670.34,29186.805
"[524968.2, 522348.44, 519719.34, 517018.3, 514182.9]",511144.0,27775.523
"[528208.4, 525066.0, 522024.94, 518989.06, 515866.9]",512568.78,27139.377
"[526502.44, 523230.94, 520030.8, 516796.4, 513429.75]",509831.44,26298.586
"[524410.9, 521525.5, 518657.7, 515727.34, 512655.62]",509360.56,27056.236
"[527498.1, 524743.5, 522011.47, 519230.62, 516331.62]",513240.7,27779.484
"[528148.75, 525494.5, 522839.5, 520120.38, 517271.5]",514223.88,27771.586
"[525329.06, 522372.25, 519418.62, 516387.03, 513195.03]",509756.0,26757.227
"[523698.47, 520875.22, 518147.7, 515439.5, 512681.47]",509806.2,29573.615
"[526270.3, 523280.0, 520376.8, 517474.44, 514491.5]",511348.34,27996.668
"[524701.1, 521998.62, 519343.94, 516667.03, 513901.75]",510982.3,28675.38
"[525709.4, 523132.06, 520553.62, 517914.6, 515154.4]",512209.3,28275.588
"[528037.9, 525313.2, 522716.38, 520177.4, 517637.72]",515038.44,31684.098
